age_binary, sex_binary, race_C, MarriageStatus_C, juv_fel_count_C, decile_score_C, juv_misd_count_C, juv_other_count_C, priors_count_C, days_b_screening_arrest_C, c_days_from_compas_C, c_charge_degree_C, v_decile_score_C, start_C, end_C, event_C
group [-1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att days_b_screening_arrest_C = 1 size 3 avg 422.49178299864985
group [-1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att c_days_from_compas_C = 0 size 12 avg 0.0
group [-1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att c_charge_degree_C = 0 size 3 avg 0.9641277453721829
group [-1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att c_charge_degree_C = 1 size 9 avg -1.5730505319234358
group [-1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att v_decile_score_C = 0 size 9 avg -1.158167713191772
group [-1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att v_decile_score_C = 1 size 3 avg 3.131342335666059
group [-1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att start_C = 0 size 12 avg 0.0
group [-1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att end_C = 0 size 12 avg -1698.941947005674
group [-1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att event_C = 0 size 3 avg 35.28275943813146
group [-1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att event_C = 1 size 9 avg -50.77275138657896

group [-1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att age_binary = 0 size 7 avg -26.038565921645212
group [-1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att age_binary = 1 size 2 avg 92.31855190401569
group [-1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att sex_binary = 0 size 7 avg 17.028807536005953
group [-1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att sex_binary = 1 size 2 avg -89.40123956403299
group [-1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att race_C = 0 size 0
group [-1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att race_C = 1 size 0
group [-1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att race_C = 2 size 9 avg -69.8460888743386
group [-1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att MarriageStatus_C = 0 size 7 avg 7.655340856733541
group [-1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att MarriageStatus_C = 1 size 1 avg -7.6553408567338765
group [-1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att MarriageStatus_C = 2 size 0
group [-1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att MarriageStatus_C = 3 size 0
group [-1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att MarriageStatus_C = 4 size 0
group [-1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att MarriageStatus_C = 5 size 0
group [-1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att MarriageStatus_C = 6 size 1 avg -84.20874942406827
group [-1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att juv_fel_count_C = 0 size 9 avg -3.7053254676608396
group [-1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att decile_score_C = 0 size 8 avg -78.81132738313072
group [-1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att decile_score_C = 1 size 1 avg 167.4740706891524
group [-1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att juv_misd_count_C = 0 size 9 avg 0.0
group [-1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att juv_other_count_C = 0 size 9 avg 0.0
group [-1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att priors_count_C = 0 size 9 avg -161.8889312828804
group [-1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att days_b_screening_arrest_C = 0 size 8 avg -172.56706629522301
group [-1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att days_b_screening_arrest_C = 1 size 1 avg 422.49178299864906
group [-1, -1, 2, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1] att c_days_from_compas_C = 0 size 9 avg 0.0
